numPNsPerKC,numPNKCsynapsesPerKC,meanWPerKC,PNDistToPedPerKC,numAPLKCsynapsesPerKC,KCindex,bodyId,subtype
6,175,29.1666666666667,55.76219140625,27,344,600702348,KCg-m_R
9,188,20.8888888888889,58.3704157986111,38,345,600702483,KCg-m_R
9,176,19.5555555555556,56.8395633680556,21,346,601047826,KCg-m_R
10,143,14.3,58.67943359375,23,347,601047827,KCg-m_R
9,155,17.2222222222222,62.9183576388889,28,348,601047853,KCg-m_R
3,79,26.3333333333333,58.10484375,10,349,601319398,KCab-m_R
8,157,19.625,73.5121240234375,16,351,601712754,KCg-m_R
8,178,22.25,55.8648754882812,22,353,602118253,KCg-m_R
5,102,20.4,73.5806796875,26,354,602459169,KCg-m_R
8,98,12.25,78.3215321180556,24,355,602459213,KCg-m_R
10,173,17.3,52.411048046875,23,356,602459682,KCg-m_R
5,70,14,79.371659375,9,357,602808843,KCa'b'-ap2_R
7,163,23.2857142857143,64.9683543526786,20,358,602809029,KCg-m_R
7,104,14.8571428571429,82.0700435267857,9,359,603422422,KCab-s_R
6,94,15.6666666666667,66.9817194010417,11,360,610618198,KCa'b'-m_R
4,65,16.25,59.65380078125,15,361,610968248,KCa'b'-m_R
4,44,11,53.1107373046875,7,362,611300533,KCa'b'-m_R
7,107,15.2857142857143,101.670120535714,17,363,611304789,KCab-s_R
7,66,9.42857142857143,57.7195979352679,10,364,611305085,KCa'b'-m_R
5,104,20.8,53.51810546875,7,365,611309194,KCab-m_R
5,90,18,77.0270052083333,8,367,611646132,KCab-s_R
3,104,34.6666666666667,67.839515625,11,370,612323667,KCa'b'-m_R
5,100,20,99.61770625,12,371,612668833,KCab-s_R
2,53,26.5,107.3588125,5,372,612669205,KCab-s_R
5,83,16.6,79.21341796875,11,373,630373425,KCab-c_R
5,62,12.4,115.9217203125,7,374,630373497,KCab-s_R
5,72,14.4,63.8570611979167,13,375,630377642,KCab-m_R
5,80,16,63.809340625,12,376,630381662,KCab-m_R
8,132,16.5,66.6759677734375,33,377,630381893,KCg-m_R
4,81,20.25,91.028482421875,4,378,630722830,KCab-s_R
6,152,25.3333333333333,92.8522903645833,24,379,630722941,KCg-m_R
7,145,20.7142857142857,82.875375,25,380,630727056,KCg-m_R
5,101,20.2,73.7021640625,14,383,631051012,KCab-s_R
8,189,23.625,70.1065849609375,20,384,631051057,KCg-m_R
9,209,23.2222222222222,55.3428511284722,32,385,631055506,KCg-m_R
7,95,13.5714285714286,71.2875485491071,14,386,631059587,KCab-s_R
7,172,24.5714285714286,94.014015625,32,387,631064055,KCg-m_R
8,160,20,72.2730571289062,24,388,631396256,KCg-m_R
5,99,19.8,64.4636015625,9,389,631396453,KCab-m_R
5,173,34.6,52.242681640625,24,390,631396532,KCg-m_R
6,108,18,37.1945951450893,31,391,631400190,KCg-m_R
9,142,15.7777777777778,76.1569561631945,36,393,631400598,KCg-m_R
8,195,24.375,68.9192368164063,28,394,631400622,KCg-m_R
8,180,22.5,90.7776006944444,29,395,631400693,KCg-m_R
9,184,20.4444444444444,76.3482313368056,29,396,631422121,KCg-m_R
5,145,29,52.3894908854167,21,397,631422224,KCg-m_R
6,151,25.1666666666667,53.270359375,20,398,631733127,KCg-m_R
8,184,23,62.4529091796875,16,399,631737164,KCg-m_R
6,130,21.6666666666667,64.0375924479167,22,400,631737380,KCg-m_R
6,173,28.8333333333333,50.5630143229167,27,402,631741483,KCg-m_R
3,62,20.6666666666667,71.3251145833333,14,403,632013356,KCab-m_R
4,122,30.5,55.1917529296875,18,404,632048075,KCg-m_R
5,97,19.4,50.8965359375,27,405,632069728,KCg-m_R
6,135,22.5,59.7616875,24,406,632069757,KCg-m_R
6,74,12.3333333333333,94.5168544921875,20,407,632069851,KCg-m_R
12,195,16.25,65.261845703125,22,408,632082635,KCg-m_R
9,165,18.3333333333333,57.0494001736111,19,411,632397510,KCg-m_R
9,219,24.3333333333333,58.4238719618056,28,412,632397750,KCg-m_R
7,161,23,47.6388493303572,24,413,632397780,KCg-m_R
11,154,14,52.988390625,27,414,632397786,KCg-m_R
5,103,20.6,60.9913893229167,21,415,632397798,KCg-m_R
7,149,21.2857142857143,46.2561110491071,27,416,632402333,KCg-m_R
8,127,15.875,45.9118083496094,22,417,632734572,KCg-m_R
7,173,24.7142857142857,78.9577983398437,35,419,632808044,KCg-m_R
8,143,17.875,65.054740234375,22,420,633144545,KCg-m_R
7,176,25.1428571428571,75.2617957589286,23,421,633148704,KCg-m_R
8,189,23.625,62.4455158691406,26,422,633148716,KCg-m_R
8,193,24.125,76.19032421875,26,423,633148859,KCg-m_R
11,153,13.9090909090909,72.5830461647727,26,424,633149039,KCg-m_R
7,150,21.4285714285714,57.2755239955357,20,425,633149202,KCg-m_R
9,126,14,55.067930078125,29,426,633498748,KCg-m_R
3,35,11.6666666666667,45.0957526041667,15,427,641653381,KCa'b'-m_R
5,86,17.2,65.888116015625,21,429,642335553,KCa'b'-m_R
6,106,17.6666666666667,96.5087395833333,12,430,642680823,KCab-s_R
3,64,21.3333333333333,61.6367578125,11,432,642680853,KCab-m_R
4,78,19.5,50.6007451171875,7,433,642680881,KCab-m_R
3,60,20,74.8442994791667,9,435,642681035,KCab-m_R
4,64,16,66.0957119140625,8,436,642689607,KCab-m_R
8,86,10.75,69.3195493164063,9,437,643362770,KCab-s_R
4,87,21.75,87.570822265625,7,438,643363111,KCab-s_R
4,98,24.5,99.676421875,5,439,643703819,KCab-s_R
3,50,16.6666666666667,93.5012421875,16,440,660730340,KCab-c_R
2,27,13.5,57.930064453125,5,441,661076014,KCab-c_R
6,91,15.1666666666667,62.5365690104167,18,442,661080007,KCa'b'-m_R
8,177,22.125,77.7680390625,14,443,661084049,KCg-m_R
